,OBJECTID,response_id,response_date,q3_1_respondee_type_business_ow,q3_2_respondee_type_resident,q3_3_respondee_type_worker,q3_4_respondee_type_student,q3_5_respondee_type_visitor,q3_6_respondee_type_property_ow,q4_1_business_postcode,q4_2_business_type,q4_3_business_overview,q5_ATSI_business,q6_1_pre_covid_full_time_staff,q6_2_pre_covid_part_time_staff,q6_3_pre_covid_casual_staff,q6_4_pre_covid_contract_staff,q7_covid_impact_on_employment_l,q8_1_post_covid_full_time_staff,q8_2_post_covid_part_time_staff,q8_3_post_covid_casual_staff,q8_4_post_covid_contract_staff,q9_1_covid_impact_on_business_r,q9_2_covid_impact_on_business_i,q9_3_covid_impact_on_business_r,q9_4_covid_impact_on_business_i,q9_5_covid_impact_on_business_g,q9_6_covid_impact_on_business_d,q10_business_still_operating,q11_1_reason_for_business_closi,q11_2_reason_for_business_closi,q11_3_reason_for_business_closi,q11_4_reason_for_business_closi,q11_5_reason_for_business_closi,q11_6_reason_for_business_closi,q11_7_reason_for_business_closi,q11_8_reason_for_business_closi,q11_9_reason_for_business_closi,q11_10_reason_for_business_clos,q11_11_reason_for_business_clos,q11_12_reason_for_business_clos,q12_what_could_have_helped_busi,q13_how_long_can_business_remai,q14_1_change_made_to_business_e,q14_2_change_made_to_business_p,q14_3_change_made_to_business_d,q15_changes_made_to_business_ot,q16_collaborating_with_other_bu,q17_1_understanding_of_federal_,q17_2_understanding_of_state_go,q17_3_understanding_of_local_go,q18_not_seeking_support,q18_2_seeking_rent_relief_from_,q18_3_seeking_debt_relief_from_,q18_4_seeking_payroll_tax_relie,q18_5_seeking_jobkeeper_benefit,q18_6_seeking_tax_relief_from_f,q18_7_seeking_small_business_gr,q18_8_seeking_grant_support_fro,q18_9_seeking_unsecured_busines,q18_10_seeking_support_other,q19_1_undefined,q19_2_seeking_rent_relief_from_,q19_3_seeking_debt_relief_from_,q19_4_seeking_payroll_tax_relie,q19_5_seeking_jobkeeper_benefit,q19_6_seeking_tax_relief_from_f,q19_7_seeking_small_business_gr,q19_8_seeking_grant_support_fro,q19_9_seeking_unsecured_busines,q19_10_seeking_support_other_st,q20_1_potential_support_from_ci,q20_2_potential_support_from_ci,q20_3_potential_support_from_ci,q20_4_potential_support_from_ci,q20_5_potential_support_from_ci,q20_6_potential_support_from_ci,q20_7_potential_support_from_ci,q20_8_potential_support_from_ci,q20_9_potential_support_from_ci,q20_10_potential_support_from_c,q20_11_potential_support_from_c,q20_12_potential_support_from_c,q21_1_business_change_within_18,q21_2_business_change_within_18,q21_3_business_change_within_18,q21_4_business_change_within_18,q21_5_business_change_within_18,q21_6_business_change_within_18,q21_7_business_change_within_18,q21_8_business_change_within_18,q21_9_business_change_within_18,q21_10_business_change_within_1,q21_11_business_change_within_1,q21_12_business_change_within_1,q21_13_business_change_within_1,q21_14_business_change_within_1,q21_15_business_change_within_1,q22_business_viable_at_which_st,q23_sector_change_post_restrict,q29_covid_recovery_planning_add,q30_covid_recovery_planning_add,q31_1_covid_recovery_planning_a,q31_2_covid_recovery_planning_a,q31_3_covid_recovery_planning_a,q31_4_covid_recovery_planning_a,q31_5_covid_recovery_planning_a,q31_6_covid_recovery_planning_a,q31_7_covid_recovery_planning_a,q31_8_covid_recovery_planning_a,q31_9_covid_recovery_planning_a,q31_10_covid_recovery_planning_,q32_1_which_activities_would_yo,q32_2_which_activities_would_yo,q32_3_which_activities_would_yo,q32_4_which_activities_would_yo,q32_5_which_activities_would_yo,q32_6_which_activities_would_yo,q32_7_which_activities_would_yo,q32_8_which_activities_would_yo,q32_9_which_activities_would_yo,q32_10_which_activities_would_y,q32_11_which_activities_would_y,q32_12_which_activities_would_y,q32_13_which_activities_would_y,q32_14_which_activities_would_y,q32_15_which_activities_would_y,q32_16_which_activities_would_y,q32_17_which_activities_would_y,q32_18_which_activities_would_y,q32_19_which_activities_would_y,q33_1_are_there_any_positive_th,q33_2_are_there_any_positive_th,q33_3_are_there_any_positive_th,q33_4_are_there_any_positive_th,q33_5_are_there_any_positive_th,q33_6_are_there_any_positive_th,q33_7_are_there_any_positive_th,q34_1_how_soon_do_you_think_you,q34_2_how_soon_do_you_think_you,q34_3_how_soon_do_you_think_you,q34_4_how_soon_do_you_think_you,q34_5_how_soon_do_you_think_you,q34_6_how_soon_do_you_think_you,q34_7_how_soon_do_you_think_you,q34_8_how_soon_do_you_think_you,q34_9_how_soon_do_you_think_you,q34_10_how_soon_do_you_think_yo,q35_1_how_important_is_city_of_,q35_2_how_important_is_city_of_,q35_3_how_important_is_city_of_,q35_4_how_important_is_city_of_,q35_5_how_important_is_city_of_,q35_6_how_important_is_city_of_,q35_7_how_important_is_city_of_,q35_8_how_important_is_city_of_,q37_1_what_concerns_you_most_ab,q37_2_what_concerns_you_most_ab,q37_3_what_concerns_you_most_ab,q37_4_what_concerns_you_most_ab,q37_5_what_concerns_you_most_ab,q37_6_what_concerns_you_most_ab,q37_7_what_concerns_you_most_ab,q37_8_what_concerns_you_most_ab,q37_9_what_concerns_you_most_ab,q37_10_what_concerns_you_most_a,q37_11_what_concerns_you_most_a,q37_12_what_concerns_you_most_a,q37_13_what_concerns_you_most_a,q37_14_what_concerns_you_most_a,q37_15_what_concerns_you_most_a,q37_16_what_concerns_you_most_a,q37_17_what_concerns_you_most_a,q38_1_mostly_positive_changes,q38_2_mostly_negative_changes,q40_1_respondee_age_range,q40_2_respondee_identified_gend,q40_3_respondee_identify_as_a_p,q40_4_respondee_identify_as_abo,q41_respondee_home_postcode_sub,q42_respondee_current_place_of_,q43_respondee_current_place_of_,q44_respondee_speak_a_language_,q45_respondee_languages_spoken_,q48_final_comments,q4_1_2nd_business_postcode
2677,2678,2677,25/05/2020,Yes,No,No,No,No,No,2000,"Incorporated not-for-profit (charity, social enterprise)",Solar Platform,No,2,2,0,4,"I've reduced staff hours, but haven't let staff go",,,,,Some,None / NA,High,None / NA,Some,Some,Yes - in a limited or changed way,No,No,No,No,No,No,No,No,No,No,No,no_response,no_response,3-6 months,Yes,Yes,Yes,no_response,no_response,Completely,Completely,Completely,no_response,Applied - successful,Applied – unsuccessful,Applied – successful,Applied – successful,Not required,Applied – successful,Applied – awaiting outcome,Applied – unsuccessful,no_response,no_response,no_response,no_response,no_response,no_response,no_response,no_response,no_response,Required FY19 profitability which we don't have as a new business,no_response,Yes,No,No,No,No,Yes,No,No,No,No,No,no_response,No,Yes,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No,Not relevant,stronger regulation on solar sales to residential customers,Yes,"Worrying about people who are important to me,Not being able to do activities that are important to me",No,No,No,No,No,No,No,No,No,no_response,Yes,Yes,No,No,No,Yes,No,Yes,No,No,Yes,No,No,No,No,No,No,No,no_response,Yes,No,No,No,Yes,No,no_response,Immediately,4-6 months,,,,,,4-6 months,Longer,1-3 months,Very important,Very important,Very important,Very important,,Very important,Important,,No,No,Yes,Yes,Yes,No,No,Yes,No,No,Yes,No,No,No,No,Yes,no_response,"Hopefully less pollution - the harbour is so clean, the air is clean. We need to make this a new normal.","Social isolation, dysfunctional supply chains. What if the pandemic was worse than COVID-19, I struggle to see how we would manage.",30-39,Male,No,No,2000,Unit/apartment in a 4+ storey block,Renting,No,no_response,"keep up the good work, it's a tough time we need strong leadership.",no_response
2679,2680,2679,25/05/2020,Yes,No,No,No,No,No,2010,Incorporated for-profit,Web design and customer experience services,No,2,4,0,0,"I've reduced staff hours, but haven't let staff go",,,,,no_response,no_response,no_response,no_response,no_response,no_response,no_response,No,No,No,No,No,No,No,No,No,No,No,no_response,no_response,no_response,no_response,no_response,no_response,no_response,no_response,no_response,no_response,no_response,no_response,no_response,no_response,no_response,no_response,no_response,no_response,no_response,no_response,no_response,no_response,no_response,no_response,no_response,no_response,no_response,no_response,no_response,no_response,no_response,No,No,No,No,No,No,No,No,No,No,No,no_response,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,no_response,no_response,no_response,no_response,No,No,No,No,No,No,No,No,No,no_response,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,no_response,No,No,No,No,No,No,no_response,no_response,no_response,,,,,,no_response,no_response,no_response,no_response,no_response,no_response,no_response,,no_response,no_response,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,no_response,no_response,no_response,no_response,no_response,no_response,no_response,no_response,no_response,no_response,no_response,no_response,no_response,no_response
2684,2685,2684,25/05/2020,Yes,No,No,No,No,No,2000,Sole trader,"Foodoutlet Take away

 Shop",No,1,1,0,0,Yes – I’ve let staff go,,1,,,High,Low,High,Low,Some,Low,no_response,No,No,No,No,No,No,No,No,No,No,No,no_response,no_response,no_response,no_response,no_response,no_response,no_response,no_response,no_response,no_response,no_response,no_response,no_response,no_response,no_response,no_response,no_response,no_response,no_response,no_response,no_response,no_response,no_response,no_response,no_response,no_response,no_response,no_response,no_response,no_response,no_response,No,No,No,No,No,No,No,No,No,No,No,no_response,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,no_response,no_response,no_response,no_response,No,No,No,No,No,No,No,No,No,no_response,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,no_response,No,No,No,No,No,No,no_response,no_response,no_response,,,,,,no_response,no_response,no_response,no_response,no_response,no_response,no_response,,no_response,no_response,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,no_response,no_response,no_response,no_response,no_response,no_response,no_response,no_response,no_response,no_response,no_response,no_response,no_response,no_response
2685,2686,2685,25/05/2020,Yes,No,No,No,No,No,2042,Incorporated for-profit,Small Bar,No,4,2,4,0,Yes – I’ve let staff go,4,,4,,High,None / NA,High,None / NA,High,None / NA,Yes - in a limited or changed way,No,No,No,No,No,No,No,No,No,No,No,no_response,no_response,6+ months,Yes,Yes,Yes,switch to a delivery / take away model. Which is sufficient to pay a few bills as long as job keeper and rental relief are in place. If not I would likely have to fire all staff.,"Stocking our products at local bottle shops, partnering with restaurants to offer packages.",Mostly,Mostly,Not at all,no_response,Applied - successful,Not applied – not eligible,Applied – successful,Applied – successful,Applied – successful,Applied – successful,Applied – awaiting outcome,Not applied – not eligible,no_response,no_response,no_response,no_response,no_response,no_response,no_response,no_response,no_response,no_response,"We were given a temporary bank overdraft, but no further loans were available as we do not own property.",Yes,No,No,Yes,No,No,No,No,Yes,No,No,no_response,No,No,No,No,No,No,No,Yes,No,Yes,No,No,No,No,No,Stage 3: 100 people,allow small bars to continue take away and delivery. This will be an important revenue stream as in venue dining will take time to recover,Yes,"Not being able to pay basic living costs (bills, rent, rates, childcare, strata fees, and loans),Loss of income / employment,Worrying about the security of my job ,Worrying about people who are important to me,Not being able to do activities that are important to me",No,No,Yes,No,Yes,No,No,No,Yes,no_response,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,No,No,no_response,No,No,No,Yes,No,No,forced to diversify business operation.,Immediately,Immediately,,,,,,Immediately,no_response,no_response,Important,Very important,Very important,Very important,,Very important,Very important,,Yes,No,No,Yes,No,No,No,No,No,No,Yes,No,Yes,Yes,No,Yes,no_response,"relaxtion of red tape to allow businesses to pivot/adapt. People might be nicer, and more aware of others",slow road to recovery for a lot of businesses,40-49,Male,No,No,Newtown,"Semi-detached, terrace house, townhouse",Renting,No,no_response,no_response,no_response
2689,2690,2689,25/05/2020,Yes,Yes,No,No,No,No,2000,"Incorporated not-for-profit (charity, social enterprise)",Language school and cultural organisation,No,10,4,30,0,work from home and new online activities,10,4,30,,High,Low,Some,Some,High,Low,Yes - in a limited or changed way,No,No,No,No,No,No,No,No,No,No,No,no_response,no_response,1-3 months,Yes,Yes,Not Applicable,no_response,no_response,Completely,Not Applicable,Mostly,no_response,Not required,Not required,Applied – successful,Applied – successful,Not applied – not eligible,Not applied – not eligible,Applied – awaiting outcome,Not required,no_response,option-1,no_response,no_response,no_response,no_response,no_response,no_response,no_response,no_response,no_response,Yes,No,No,No,No,No,No,No,Yes,No,Yes,no_response,No,No,Yes,No,Yes,No,No,No,Yes,No,No,No,No,No,No,Stage 3: 100 people,no_response,Yes,"Not being able to do activities that are important to me,As a general Manager, I amstressed for my employees and our capacities to maintain thier jobs",No,No,No,No,No,No,No,No,No,no_response,Yes,No,Yes,No,Yes,No,No,No,No,No,No,Yes,No,Yes,No,No,No,No,no_response,No,No,No,Yes,No,No,no_response,Immediately,Immediately,,,,,,Immediately,Immediately,Immediately,Very important,Very important,Very important,Very important,,Somewhat important,Important,,No,No,Yes,No,Yes,Yes,No,No,No,Yes,Yes,No,No,No,No,Yes,no_response,no_response,no_response,50-59,Male,No,No,2035,Unit/apartment in a 1-3 storey block,Renting,Yes,French,no_response,no_response
2697,2698,2697,25/05/2020,Yes,Yes,No,No,No,No,2140,Incorporated for-profit,Design and Builds Events and Exhibition Stands and Pop Up Kiosks for Brands/Businesses.,No,3,1,0,6,Yes – I’ve let staff go,1,1,,0,High,Low,High,None / NA,High,Low,Yes - in a limited or changed way,No,No,No,No,No,No,No,No,No,No,No,no_response,no_response,6+ months,Yes,Yes,Yes,no_response,no_response,Somewhat,Somewhat,Not at all,no_response,Applied - unsuccessful,Applied – unsuccessful,Applied – successful,Applied – successful,Applied – successful,Applied – awaiting outcome,Applied – awaiting outcome,Not applied – not eligible,no_response,option-1,no_response,no_response,no_response,no_response,no_response,no_response,no_response,no_response,no_response,Yes,No,No,Yes,No,No,No,No,Yes,No,No,no_response,No,Yes,No,Yes,No,No,No,No,Yes,No,No,No,No,No,No,Stage 3: 100 people,no_response,No,no_response,No,No,No,No,No,No,No,No,No,no_response,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,no_response,No,No,No,No,No,No,no_response,no_response,no_response,,,,,,no_response,no_response,no_response,no_response,no_response,no_response,no_response,,no_response,no_response,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,no_response,no_response,no_response,no_response,no_response,no_response,no_response,no_response,no_response,no_response,no_response,no_response,no_response,no_response
2701,2702,2502,25/05/2020,Yes,Yes,No,No,No,No,2010,Incorporated for-profit,Digital consulting,No,1,0,0,3,"I've reduced staff hours, but haven't let staff go",,,,,High,None / NA,High,None / NA,High,Some,Yes - in a limited or changed way,No,No,No,No,No,No,No,No,No,No,No,no_response,no_response,6+ months,No,Yes,Yes,Changing our entire model of what we do,no_response,Mostly,Somewhat,Not at all,no_response,no_response,no_response,Applied – awaiting outcome,Applied – successful,Applied – successful,Applied – awaiting outcome,Not applied – not eligible,Not required,no_response,option-1,no_response,no_response,no_response,no_response,no_response,no_response,no_response,no_response,no_response,No,Yes,Yes,Yes,No,No,No,No,No,No,No,no_response,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,no_response,no_response,no_response,no_response,No,No,No,No,No,No,No,No,No,no_response,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,no_response,No,No,No,No,No,No,no_response,no_response,no_response,,,,,,no_response,no_response,no_response,no_response,no_response,no_response,no_response,,no_response,no_response,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,no_response,no_response,no_response,no_response,no_response,no_response,no_response,no_response,no_response,no_response,no_response,no_response,no_response,no_response
2703,2704,2503,25/05/2020,Yes,No,Yes,No,No,No,2000,Incorporated for-profit,IT Consulting,No,8,0,0,1,"I've reduced staff hours, but haven't let staff go",,,,,High,None / NA,High,Some,Low,None / NA,Yes - in a limited or changed way,No,No,No,No,No,No,No,No,No,No,No,no_response,no_response,3-6 months,Not Applicable,Yes,No,We are all working remotely from home. Services we offer have changed.,Trying to offer combined services to government led initiatives,Mostly,Somewhat,Mostly,no_response,Applied - unsuccessful,Not required,Not required,Applied – successful,Not required,Preparing an application,Preparing,Not required,no_response,option-1,no_response,no_response,no_response,no_response,no_response,no_response,no_response,no_response,no_response,No,No,No,No,No,Yes,No,No,Yes,No,Yes,no_response,No,Yes,Yes,No,Yes,No,Yes,No,No,No,No,No,No,No,No,Not relevant,no_response,No,no_response,No,No,No,No,No,No,No,No,No,no_response,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,no_response,No,No,No,No,No,No,no_response,no_response,no_response,,,,,,no_response,no_response,no_response,no_response,no_response,no_response,no_response,,no_response,no_response,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,no_response,no_response,no_response,no_response,no_response,no_response,no_response,no_response,no_response,no_response,no_response,no_response,no_response,no_response
2708,2709,2508,25/05/2020,Yes,No,No,No,No,No,2008,"Incorporated not-for-profit (charity, social enterprise)","Professional contemporary dance theatre production and touring, along with education and community engagement programs.",No,2,2,5,10,"We've been impacted.  However, we have maintained core staff through switch to digital programs which allow us to engage artists and continue to reach and develop audiences.",2,2,1,5,Low,None / NA,Some,Low,Some,None / NA,Yes - in a limited or changed way,No,No,No,No,No,No,No,No,No,No,No,no_response,no_response,6+ months,Yes,Yes,Yes,"Staff all working from home, unable to operate from Seymour Centre, delivering  online dance workshops from artists' own residence (modified garage space), creative development of new work delayed, reduced capacity to plan touring (national or international), reduced ability to maintain relationships with key national and international presenters (venues/festivals) due to uncertainty around touring, touring funds that we would normally seek to support national/international touring are not available.",Collaborating with City of Sydney Youth Services team on the presentation of our Electro-Pop Online workshops.  We are also collaborating with the Seymour Centre staff on presentation of our new IN THE ZONE Online workshops (they are providing ticketing services).,Completely,Completely,Completely,no_response,Not required,Not required,Applied – successful,Applied – successful,Not applied – not eligible,Not applied – not eligible,Applied – awaiting outcome,Not required,"Create NSW COVID-19 support for the small-medium arts and screen sector - [personal data withheld] - applied, awaiting outcome",option-1,"Not applicable, we are a resident company at the [personal data withheld] and do not pay rent.",Not required,no_response,no_response,no_response,no_response,no_response,Not required,no_response,Yes,No,No,No,No,No,No,No,Yes,No,No,"Commissioning funds for new artistic works to be developed (online if required), which will provide considerable artist employment, with the specific intention for works to be presented in City of Sydney venues/spaces in the future.",No,No,Yes,No,No,No,Yes,No,No,Yes,No,No,No,No,No,Stage 3: 100 people,"Increased support/commissioning/collaboration from venues and festivals based in the City of Sydney, to ensure that works/ programs from our company are regularly programmed locally with their support, which will provide considerable employment for artists/creative/production personnel.",No,no_response,No,No,No,No,No,No,No,No,No,no_response,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,no_response,No,No,No,No,No,No,no_response,no_response,no_response,,,,,,no_response,no_response,no_response,no_response,no_response,no_response,no_response,,no_response,no_response,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,no_response,no_response,no_response,no_response,no_response,no_response,no_response,no_response,no_response,no_response,no_response,no_response,no_response,no_response
2709,2710,2509,25/05/2020,Yes,Yes,No,No,No,No,2111,Sole trader,"Graphic design, web design, illustration, motion graphics",No,1,0,0,0,No impact,,,,,Low,Some,Low,Some,None / NA,None / NA,Yes - full capacity,No,No,No,No,No,No,No,No,No,No,No,no_response,no_response,Long term,Not Applicable,No,No,no_response,Design for live stream shows that replace parties and physical events,Somewhat,Somewhat,Somewhat,no_response,Applied - successful,Not required,Not required,Not required,Not applied – not aware,Not applied – not eligible,Not applied – not aware,Not required,no_response,no_response,no_response,no_response,no_response,no_response,no_response,no_response,no_response,no_response,no_response,No,No,No,No,No,No,No,No,No,No,No,no_response,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,no_response,no_response,no_response,no_response,No,No,No,No,No,No,No,No,No,no_response,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,no_response,No,No,No,No,No,No,no_response,no_response,no_response,,,,,,no_response,no_response,no_response,no_response,no_response,no_response,no_response,,no_response,no_response,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,no_response,no_response,no_response,no_response,no_response,no_response,no_response,no_response,no_response,no_response,no_response,no_response,no_response,no_response
2712,2713,2512,25/05/2020,Yes,No,No,No,No,No,2100,Incorporated for-profit,Manufacturing custom covers and bags,No,3,2,0,0,"I've reduced staff hours, but haven't let staff go",,,,,High,High,High,Low,Some,None / NA,Yes - in a limited or changed way,No,No,No,No,No,No,No,No,No,No,No,no_response,no_response,6+ months,Yes,Yes,No,no_response,no_response,Mostly,Mostly,Somewhat,no_response,no_response,no_response,no_response,Applied – successful,Applied – awaiting outcome,Not applied – not aware,Not applied – not aware,no_response,no_response,option-1,no_response,no_response,no_response,no_response,no_response,no_response,no_response,no_response,no_response,No,Yes,Yes,No,No,No,No,No,Yes,No,No,no_response,No,Yes,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,Stage 3: 100 people,no_response,No,no_response,No,No,No,No,No,No,No,No,No,no_response,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,no_response,No,No,No,No,No,No,no_response,no_response,no_response,,,,,,no_response,no_response,no_response,no_response,no_response,no_response,no_response,,no_response,no_response,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,no_response,no_response,no_response,no_response,no_response,no_response,no_response,no_response,no_response,no_response,no_response,no_response,no_response,no_response
2717,2718,2517,25/05/2020,Yes,Yes,No,No,No,No,2130,Sole trader,Music educator /conductor,No,0,0,0,0,N/a,0,0,0,,High,High,High,High,High,Some,Yes - in a limited or changed way,No,No,No,No,No,No,No,No,No,No,No,no_response,no_response,1-3 months,Not Applicable,Yes,Yes,no_response,no_response,Completely,Completely,Completely,no_response,Applied - unsuccessful,Not applied – not eligible,Not applied – not eligible,Applied – successful,Not applied – not eligible,Not applied – not eligible,Not applied – not eligible,Not applied – not eligible,no_response,no_response,Rent privately and landlord lives overseas and [personal data withheld],Can not afford to pay back a loan,no_response,no_response,no_response,Not eligible as an arts educator,Not eligible as an arts educator,Can not afford to pay back,no_response,No,No,No,No,No,Yes,No,No,No,No,No,no_response,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Stage 3: 100 people,Funding for the arts training organisations [personal data withheld],No,no_response,No,No,No,No,No,No,No,No,No,no_response,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,no_response,No,No,No,No,No,No,no_response,no_response,no_response,,,,,,no_response,no_response,no_response,no_response,no_response,no_response,no_response,,no_response,no_response,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,no_response,no_response,no_response,no_response,no_response,no_response,no_response,no_response,no_response,no_response,no_response,no_response,no_response,no_response
2724,2725,2524,25/05/2020,Yes,No,No,No,No,No,2015,Incorporated for-profit,Electrical Contractor,No,14,0,1,1,1x staff resigned,13,,1,,High,None / NA,High,None / NA,Some,Some,Yes - in a limited or changed way,No,No,No,No,No,No,No,No,No,No,No,no_response,no_response,1-3 months,No,No,Yes,"REmote operation,",No,Completely,Mostly,Not at all,no_response,Applied - successful,Applied – successful,Not applied – not eligible,Applied – successful,Applied – successful,Not applied – not eligible,Not applied – not aware,Not required,no_response,no_response,no_response,no_response,no_response,no_response,no_response,You need to have had a 75% reduction in income and don't qualify,"Iam not aware of any grants available, only thing I have heard about is granys to fringe artists",no_response,no_response,No,Yes,No,Yes,No,No,No,No,No,No,No,Better and open tendering for works plus look after business in your own area,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,Stage 3: 100 people,Less red tape,Yes,"Not being able to access important services such as doctors, physios, counselling etc ,Worrying about the security of my job ,Worrying about people who are important to me",No,No,No,No,No,No,No,No,No,no_response,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,no_response,Yes,Yes,No,Yes,No,No,no_response,Immediately,Immediately,,,,,,Immediately,Immediately,Immediately,Very important,Somewhat important,Very important,Not very important,,Very important,Very important,,No,No,No,No,No,Yes,No,No,No,Yes,No,Yes,No,Yes,No,Yes,no_response,Yes,no_response,50-59,Male,No,No,2234,Separate house,Paying it off / mortgaged,No,no_response,None,no_response
2726,2727,2526,25/05/2020,Yes,No,No,No,No,No,2011,Incorporated for-profit,"modern sustainable laundry offering self-service, bag wash, pick-up & delivery and business laundry services.",No,2,0,0,0,No impact,,,,,High,None / NA,High,None / NA,Low,Some,Yes - in a limited or changed way,No,No,No,No,No,No,No,No,No,No,No,no_response,no_response,3-6 months,Yes,Yes,Yes,"Mandated cleaning, reduced hours, more communication, operational changes.",Yes. A donation campaign of pastries for front line workers.,Mostly,Mostly,Somewhat,no_response,Applied - awaiting outcome,Not required,Not required,Applied – successful,Not applied – not aware,Preparing an application,Applied – unsuccessful,Applied – successful,no_response,no_response,Landlord does not want to pass on a rent reduction because he says he is not getting any support from his financial institution,no_response,no_response,no_response,no_response,no_response,Business under 12 months old.,no_response,no_response,Yes,Yes,No,No,No,No,No,No,Yes,No,No,no_response,No,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,No,No,Yes,No,Not relevant,no_response,No,no_response,No,No,No,No,No,No,No,No,No,no_response,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,no_response,No,No,No,No,No,No,no_response,no_response,no_response,,,,,,no_response,no_response,no_response,no_response,no_response,no_response,no_response,,no_response,no_response,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,no_response,no_response,no_response,no_response,no_response,no_response,no_response,no_response,no_response,no_response,no_response,no_response,no_response,no_response
2727,2728,2527,25/05/2020,Yes,No,No,No,No,No,2000,Incorporated for-profit,"We organise events, marketing campaigns and host foreign companies, trade delegations",No,1,0,1,0,Not applicable,1,,,,High,None / NA,High,High,None / NA,None / NA,Yes - in a limited or changed way,No,No,No,No,No,No,No,No,No,No,No,no_response,no_response,3-6 months,Not Applicable,Yes,Yes,We created new products such as online training modules and virtual events.,no,Completely,Completely,Not at all,no_response,Not applied - not aware,Not required,Not required,Applied – successful,Applied – awaiting outcome,Applied – successful,Not applied – not aware,Applied – awaiting outcome,no_response,no_response,no_response,no_response,no_response,no_response,no_response,no_response,no idea what is available,no_response,no_response,Yes,No,No,No,No,No,No,No,No,No,No,no_response,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Stage 3: 100 people,free parking as I fear from commuting with many people,Yes,Loss of income / employment,No,No,No,No,No,No,No,No,No,no_response,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,no_response,No,No,No,No,No,No,No,no_response,no_response,,,,,,Immediately,Immediately,Immediately,Important,Very important,Very important,Important,,Very important,Very important,,No,Yes,No,Yes,No,No,No,No,Yes,No,Yes,No,No,No,No,Yes,no_response,no_response,no_response,40-49,Male,No,No,2026,Unit/apartment in a 4+ storey block,Renting,Yes,Turkish,no_response,no_response
2728,2729,2528,25/05/2020,Yes,No,No,No,No,No,2000,Incorporated for-profit,Project management and advisory services,No,90,3,0,2,"I've reduced staff hours, but haven't let staff go",,,,,High,None / NA,Some,None / NA,Some,None / NA,Yes - in a limited or changed way,No,No,No,No,No,No,No,No,No,No,No,no_response,no_response,1-3 months,No,No,Yes,100% working from home,"Virtual communications, workshops and B2Bs, increased publications",Completely,Completely,Mostly,no_response,Applied - successful,Applied – awaiting outcome,Applied – awaiting outcome,Applied – successful,Applied – successful,Not applied – not eligible,Not applied – not eligible,no_response,no_response,no_response,"we signed the lease in January, landlord has not wanted to accept a lower lease payment",no_response,no_response,no_response,no_response,no_response,no_response,no_response,no_response,No,No,No,Yes,No,Yes,Yes,No,No,No,No,",",No,No,No,No,Yes,No,No,No,Yes,No,No,No,No,No,No,Stage 2: 20 people,no_response,No,no_response,No,No,No,No,No,No,No,No,No,no_response,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,no_response,No,No,No,No,No,No,no_response,no_response,no_response,,,,,,no_response,no_response,no_response,no_response,no_response,no_response,no_response,,no_response,no_response,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,no_response,no_response,no_response,no_response,no_response,no_response,no_response,no_response,no_response,no_response,no_response,no_response,no_response,no_response
