Postcode,Suburb,Activity,YearsTrading,Aboriginal_TorresStrait,FullTime_Employees,PartTime_Employees,Casual_Employees,Impact_WFH,ComparisonTo_PreCovid,Forecast_12Months,HaveYouReduced_opening_hours,HaveYouReduced_employee_numbers,HaveYou_PermanentClosure_ShiftT,HaveYou_PermanentClosure_Shif_1,BusinessCapacity_FullOperationa,BusinessCapacity_IncreasedCapac,BusinessCapacity_other,EmployeeLocation,EmployeeLocationOther,DigitalServices_WebsiteChanges,DigitalServices_ECommerce_Onlin,DigitalServices_NewServices_Tel,DigitalServices_SocialMedia_Cam,DigitalServices_other,SupportRequired_NotSeeking,SupportRequired_FreeSkills_and_,SupportRequired_Communication_o,SupportRequired_Advocacy_forBus,SupportRequired_PrecinctMarketi,SupportRequired_PrecinctEvents_,SupportRequired_Education_on_Go,SupportRequired_waiving_Outdoor,SupportRequired_Government_Fees,SupportRequired_waiving_Governm,SupportRequired_business_suppor,SupportRequired_less_red_tape_a,SupportRequired_statutory_assis,SupportRequired_finding_employe,SupportRequired_other,AreasToStrengthen_12_18Months_s,AreasToStrengthen_12_18Months_1,AreasToStrengthen_12_18Months_c,AreasToStrengthen_12_18Months_2,AreasToStrengthen_12_18Months_a,AreasToStrengthen_12_18Months_e,AreasToStrengthen_12_18Months_d,AreasToStrengthen_12_18Months_m,AreasToStrengthen_12_18Months_p,AreasToStrengthen_12_18Months_3,AreasToStrengthen_12_18Months_4,AreasToStrengthen_12_18Months_5,AreasToStrengthen_12_18Months_b,AreasToStrengthen_12_18Months_6,AreasToStrengthen_12_18Months_r,AreasToStrengthen_12_18Months_o,PreferredFormat_BusinessEducati,PreferredFormat_BusinessEduca_1,FinancialComparison_to12Months_,FinancialComparisonForecast12Mo,AustralianEconomyForecast_12Mon,YourSustainabilityPractices_rec,YourSustainabilityPractices_gre,YourSustainabilityPractices_wat,YourSustainabilityPractices_Foo,YourSustainabilityPractices_net,YourSustainabilityPractices_non,YourSustainabilityPractices_tel,StrategiesToSupport_DiversityIn,StrategiesToSupport_Diversity_1,StrategiesToSupport_Diversity_2,StrategiesToSupport_Diversity_3,StrategiesToSupport_Diversity_4,StrategiesToSupport_Diversity_5,StrategiesToSupport_Diversity_6,StrategiesToSupport_Diversity_7,StrategiesToSupport_Aboriginal_,StrategiesToSupport_Aboriginal1,StrategiesToSupport_Aborigina_1,ContinuityPlan_Manage_FutureRis,industry_code,industry_description_cbi_sector,cbi_industry_sector,cbi_sub_sector,ObjectId
2000,Sydney,Financial Services,> 10,No,200,,,We have given staff the option of home/office working. About 30%  attend office. Reduced our floor space. A major study conducted prior to COVID concluded working> 2 days from home reduces the net negative economic benefit. I would agree with this.,Remained the same,Remain the same,,,,,Yes,,,Split between locations (hybrid),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6411,Financial Asset Broking Services,Finance and Financial Services,Financial Services,110
2000,Sydney,Financial Services,> 10,No,1,1,,Needed to gear up online and virtual capability.  CBD activity much less.,Remained the same,Increase,Yes,,,,,,,Split between locations (hybrid),,,,Improved/expanded,,,Yes,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,Online webinars or live streaming,,Worse off,Better off,Worse off,Yes,,Yes,,,,,,Yes,,,,Yes,,,,No,,Yes,6411,Financial Asset Broking Services,Finance and Financial Services,Financial Services,111
2000,Sydney,Financial Services,6 to 10,No,5,,,Nothing of significance,Remained the same,Increase,,,,,Yes,,,Split between locations (hybrid),,Improved/expanded,No change,No change,Improved/expanded,,,,,,,,,,,,,,,,"Make more motocycling parking bays in the northern part of the city. Blocking off the whole of Pitt street for bibycles is nothing short of ridiculous. There are MANY more motocycles wanting to ride and park in the city than bicyles PLUS motocycles make less pollution, use less fuel and are less harmful to the environment than buses and ferries.",,Yes,,,,,,,,,,,,,,,Online webinars or live streaming,,Better off,Better off,Worse off,Yes,,,,,,,,Yes,,,,,,,,No,,Yes,6411,Financial Asset Broking Services,Finance and Financial Services,Financial Services,112
2000,Sydney,Financial Services,> 10,No,5,0,0,No bad impacts. We could maintain the same standards.,Significantly decreased (more than 50% decline),Increase,,Yes,,,,,,Business premises,,No change,No change,Improved/expanded,No change,,,Yes,,,,,,,,,,,,,,Yes,,Yes,,,,,,Yes,,,,Yes,,,,Online webinars or live streaming,,Worse off,Better off,Better off,,,,,,Yes,,Yes,,,,,,,,,No,,No,6411,Financial Asset Broking Services,Finance and Financial Services,Financial Services,113
2000,Barangaroo,Financial Services,6 to 10,No,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6411,Financial Asset Broking Services,Finance and Financial Services,Financial Services,114
2000,Sydney,Financial Services,> 10,No,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6411,Financial Asset Broking Services,Finance and Financial Services,Financial Services,115
2000,Haymarket,Financial Services,> 10,No,3,,,"Lower productivity, I do not know what other things they do at home. At lot of time, the staff not in front of their PC.",Remained the same,Decrease,,,,,,,"No business last month, but i have yet to lay off staff.... but thinking to",Fully remote,,No change,No change,No change,No change,,,,,,,,,,,,Yes,Yes,,,,,,,,,,,Yes,Yes,,,,Yes,,,,"Digital resources (checklist, guidelines, toolkits)",,Worse off,Worse off,Worse off,,,,,,Yes,,,,,,,,Yes,,,No,,Yes,6411,Financial Asset Broking Services,Finance and Financial Services,Financial Services,116
2010,Surry Hills,Fitness,> 10,No,1,,8,our services are unable to be offered from home. clients come to our business to improve their physical health and mental well being and for the community.,Remained the same,Remain the same,,,,,,,even though we are fully operational we have experienced a decline in business since reopening after the last lockdown.,Business premises,,Improved/expanded,No change,Temporary,Improved/expanded,we pivoted to online classes however this had to be offered at a 1/3 of our usual revenue and we lost 90% of our clientele during lockdown,,,,,,,,,,,,Yes,,,,,Yes,Yes,,,,Yes,,Yes,,,,,,,,"Digital resources (checklist, guidelines, toolkits)",,Worse off,Better off,Better off,Yes,,,,,,,,,,,,,,"our communication promotes our business as an inclusive, safe space for everyone and every body.",,No,,No,9111,Health and Fitness Centres and Gymnasia Operation,"Tourist, Cultural and Leisure",Sports Services,117
2010,Surry Hills,Florist Retail,> 10,No,2,2,2,,Remained the same,Remain the same,Yes,,,,,,,Business premises,,No change,No change,No change,No change,,,,,Yes,,,,,,,,Yes,,Yes,,Yes,Yes,,,,,Yes,,,,Yes,,,,,,In-person events,,Worse off,Better off,Worse off,Yes,,,,,,,,,,,,,,,,,,Don't know,4274,Flower Retailing,Retail and Personal Services,Garden,118
2018,Rosebery,,< 1,No,1,,,NIL,Remained the same,Remain the same,Yes,,,,,,,Other (please describe),Home business,Improved/expanded,Improved/expanded,No change,Temporary,,,Yes,Yes,,Yes,Yes,Yes,,Yes,,Yes,Yes,,,,Yes,Yes,Yes,Yes,,Yes,Yes,,Yes,,,Yes,,,,,"Digital resources (checklist, guidelines, toolkits)",,Worse off,Worse off,Better off,Yes,,Yes,Yes,,,,Yes,,,Yes,,,,,,No,,No,ZZZZ,Not Surveyed,Other,Other - Other,119
2011,Potts Point,Food and Beverage,1 to 5,No,4,4,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4512,Takeaway Food Services,Food and Drink,Food and Drink Specialised,120
2010,Surry Hills,Food and Beverage,< 1,No,3,3,,sales down 40%,Decreased,Decrease,Yes,Yes,,,,,,Business premises,,No change,No change,No change,No change,,,,,Yes,Yes,Yes,,,Yes,,Yes,Yes,,,,,,,,,,,,Yes,,,,,,,,In-person events,,Worse off,Worse off,Worse off,Yes,Yes,,Yes,,,,Yes,,,Yes,,,,,,No,,No,4512,Takeaway Food Services,Food and Drink,Food and Drink Specialised,121
2009,Pyrmont,Restaurant,> 10,No,200,,200,Productivity has suffered as we need people within our restaurants.,Increased,Increase,Yes,,,,,,,Business premises,,New,New,New,New,,,Yes,Yes,Yes,Yes,,,,,,Yes,,,,,Yes,Yes,,,,Yes,,,,,,,,,,,1:1 mentoring,,Worse off,Better off,Better off,Yes,,Yes,Yes,,,,Yes,Yes,Yes,,,,,,,No,,Yes,4511B,Restaurants,Food and Drink,Food and Drink Cafes and Restaurants,122
2000,Haymarket,Food and Beverages Outlets Wholesale and Retail Shops,> 10,No,13,16,4,Our business had a significant decrease in revenue,Decreased,Don't know,Yes,,,,,,,Business premises,,No change,No change,No change,No change,,,,Yes,Yes,Yes,Yes,,,Yes,,Yes,Yes,,,,Yes,,Yes,,Yes,,,,,,,,Yes,,,,"Digital resources (checklist, guidelines, toolkits)",,Better off,Better off,Better off,Yes,,,,,,,,,,,,,Yes,,,No,,Don't know,4512,Takeaway Food Services,Food and Drink,Food and Drink Specialised,123
2010,Surry Hills,Food and Education,6 to 10,No,50,6,3,Getting them back to work,Decreased,Remain the same,,Yes,,,,,,Business premises,,New,No change,Improved/expanded,No change,,,,Yes,,,,,,,,,Yes,Yes,,,,Yes,,,,,,Yes,,,,,,,,,In-person events,,Worse off,Better off,Worse off,Yes,Yes,,,,,,,Yes,Yes,,,Yes,,,,No,,Yes,8212,Arts Education,Higher Education and Research,HEandR - Education,124
2000,Sydney,Restaurant and Kiosk,> 10,No,2,,15,Revenue dropped 95%,Significantly decreased (more than 50% decline),Decrease,,,,,,,Close to bankrupcy,Business premises,,No change,Temporary,Temporary,Improved/expanded,,,,,,,,,,,,Yes,,,Yes,"We survived covid but inflation, staff shortage, reduced occupancy rate and before covid rent cost caused mental challenges and no strength left to deal with any of these issues.",,,,,,,,Yes,,,,,,,,Finding a buyer,"Digital resources (checklist, guidelines, toolkits)",,Worse off,Worse off,Worse off,Yes,,,,,,,,,,,,,,It is already a diverse workplace,,No,,No,4511B,Restaurants,Food and Drink,Food and Drink Cafes and Restaurants,125
2015,Alexandria,Food Distributor,> 10,No,39,5,13,"Some Staff member who come to the office/warehouse feel unfair, and we needed to increase the salary who come to the office/warehouse",Increased,Increase,,,,,Yes,,,Other (please describe),Mixed up,Improved/expanded,Improved/expanded,No change,No change,,Yes,,,,,,,,,,,,,,,Yes,Yes,,Yes,,,,,,,,,Yes,,Yes,,Online webinars or live streaming,,Worse off,Worse off,Better off,Yes,,,,,,,Yes,Yes,Yes,,,,,,,No,,No,3601,General Line Grocery Wholesaling,Food and Drink,Food and Drink Wholesaling,126
2020,,Foundry Castings Manufacturing,> 10,No,12,3,2,None,Remained the same,Remain the same,,,,,Yes,,,Business premises,,No change,No change,No change,No change,,Yes,,,,,,,,,,,Yes,,Yes,,,Yes,,,,,,,,,,,,,,,Other (please describe),Do not do any,Better off,Worse off,Worse off,Yes,,,,,,Solar power on the roof,,,,,,,Yes,,,No,,No,2299,Other Fabricated Metal Product Manufacturing n.e.c.,Manufacturing,Metal Product Manufacturing,127
2011,Potts Point,Freelance Copywriter,1 to 5,No,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7292,Document Preparation Services,Professional and Business Services,PBS - Business Services,128
2000,Sydney,Fund Manager,1 to 5,No,15,0,0,-,Increased,Remain the same,,,,,Yes,,,Split between locations (hybrid),,No change,No change,No change,No change,,Yes,,,,,,,,,,,,,,,,Yes,,,,,Yes,,,,,,,,,,In-person events,,Better off,Better off,Worse off,Yes,,,,,,,,Yes,,,,,,,,No,,No,6240,Financial Asset Investing,Finance and Financial Services,Financial Services,129
2000,Barangaroo,Funds Management,> 10,No,18,,,Positive,Increased,Increase,,,,,Yes,,,Split between locations (hybrid),,No change,No change,No change,No change,,Yes,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,"Digital resources (checklist, guidelines, toolkits)",,Better off,Better off,Better off,Yes,,,,Yes,,,Yes,Yes,Yes,,,,,,,No,,Yes,6240,Financial Asset Investing,Finance and Financial Services,Financial Services,130
2010,Surry Hills,Furniture,> 10,No,20,,,No impact,Remained the same,Remain the same,,,,,Yes,,,Business premises,,New,No change,Improved/expanded,Improved/expanded,,,,,,,,,,,,,,,Yes,,Yes,,Yes,,Yes,,,,,Yes,,Yes,Yes,,,,"Digital resources (checklist, guidelines, toolkits)",,Better off,Better off,Worse off,Yes,Yes,,Yes,,,,,Yes,,,,,,,Yes,,Indigenous Partnership and investment program,Yes,4211,Furniture Retailing,Retail and Personal Services,Furniture & Carpet,131
2017,Waterloo,Glass and Glazing Services,6 to 10,No,8,2,3,"Nil, we don't support working from due to being in the construction industry",Remained the same,Increase > 50%,,,,,Yes,,,Business premises,,No change,,No change,No change,,,,,,,,,,Yes,,Yes,Yes,Yes,,,,,,,,,,,,,,,Yes,,,,Online webinars or live streaming,,Worse off,Worse off,Worse off,Yes,,,,,,,,Yes,Yes,,,,,,,No,,No,3245,Glazing Services,Property Development and Operation,Construction Trade Services,132
2011,Potts Point,Bar Restaurant,1 to 5,No,2,,7,More people staying home. Less people visiting hospitality. Business that needs people visiting your venue is hard,Remained the same,Increase,Yes,,,,,,,Business premises,,Improved/expanded,Improved/expanded,No change,Improved/expanded,,,,,,Yes,Yes,,,Yes,,Yes,Yes,Yes,Yes,,,Yes,Yes,,,,,,,Yes,,,Yes,,,,1:1 mentoring,,Better off,Better off,Better off,Yes,,,,,,,,Yes,Yes,,,,,,,No,,No,4511B,Restaurants,Food and Drink,Food and Drink Cafes and Restaurants,133
2000,Sydney,Govt Relations Consulting,1 to 5,No,1,,,Lack of social interaction making it difficult for networking and general intel gathering.,Remained the same,Remain the same,,,,,,,normal hours,Fully remote,,No change,No change,New,Improved/expanded,,,,,Yes,,Yes,Yes,,,,,Yes,,,,,Yes,,,Yes,,,Yes,Yes,,,,Yes,,,,1:1 mentoring,,Worse off,Better off,Better off,Yes,,,,,,,,,,,,,Yes,,,No,,No,6962,Management Advice and Related Consulting Services,Professional and Business Services,PBS - Business Services,134
2000,The Rocks,Guided Colonial History Walking Tours Around the Rocks,> 10,No,2,,10,The Rocks has been a ghost town for 2 years,Decreased,Increase,,Yes,,,,,,Business premises,,No change,No change,No change,No change,,,,Yes,,Yes,Yes,,,,,,,,,"Events, promotions and activation that assist the businesses that lease commercial premises in the area. Also, diversity of businesses in the area - not just high end shops, pop up shops, pubs, bars and eateries",,,,,,,,,,,,,Yes,,,,In-person events,,Worse off,Better off,Worse off,,,,,,Yes,The above does not apply to our company,,,,,Yes,,,,,No,,Don't know,5010,Scenic and Sightseeing Transport,Transport and Logistics,Road Transport,135
2010,Darlinghurst,Guided e-Bike Tours,1 to 5,No,0,0,2,Less people in the city.,Remained the same,Remain the same,,,,,Yes,,,Business premises,,Improved/expanded,No change,Improved/expanded,Improved/expanded,,,,Yes,,Yes,Yes,,,,,Yes,,,,,,Yes,,,,,,,,Yes,,,,,,,In-person events,,Better off,Better off,Better off,Yes,,,,,,,,,Yes,,,,,,,No,,Yes,5010,Scenic and Sightseeing Transport,Transport and Logistics,Road Transport,136
2010,Darlinghurst,Gym Group Fitness and PT,6 to 10,No,2,,5,"People are no longer traveling to work in the city so they do not come to the gym on the way to or from work. People have cancelled their membership with us and are joining gyms closer to home. So, we have a lot less foot traffic.",Decreased,Remain the same,,Yes,,,,,,Business premises,,Improved/expanded,Improved/expanded,No change,Improved/expanded,,,,Yes,,,,,,,,Yes,Yes,Yes,,,,Yes,Yes,,,,,,,,,,,,,,Online webinars or live streaming,,Worse off,Better off,Worse off,Yes,,,,,,,,Yes,,,,,,,,No,,No,9111,Health and Fitness Centres and Gymnasia Operation,"Tourist, Cultural and Leisure",Sports Services,137
2015,Alexandria,Gyms,> 10,No,,,1,Change of demographics,Significantly decreased (more than 50% decline),Decrease,Yes,,,,,,,Business premises,,Improved/expanded,No change,No change,Improved/expanded,,,Yes,Yes,,,,,,Yes,,Yes,Yes,,Yes,,,Yes,Yes,,,Yes,,,,Yes,,,,,,,Online webinars or live streaming,,Worse off,Worse off,Better off,Yes,,,,,,,,,,,,,Yes,,,No,,No,9111,Health and Fitness Centres and Gymnasia Operation,"Tourist, Cultural and Leisure",Sports Services,138
2008,Chippendale,Hair and Beauty,> 10,No,3,3,,Not as many people coming into the city so weâ€™ve lost a lot of clients.. but weâ€™ve also gotten new ones.. we have found people come during the day now a lot so we donâ€™t work late nights anymore,Remained the same,Increase,,,,,Yes,,,Business premises,,No change,Improved/expanded,No change,Improved/expanded,,,Yes,,,Yes,Yes,,,,,,,,Yes,,,,,,Yes,,,Yes,,,,,,,,,1:1 mentoring,,Worse off,Better off,Worse off,Yes,,Yes,,,,,Yes,Yes,,,,,,,,No,,No,9511,Hairdressing and Beauty Services,Retail and Personal Services,Personal Services,139
2000,Sydney,Hairsalon,> 10,No,6,3,2,Less people want to find work at hair salon,Significantly decreased (more than 50% decline),Remain the same,Yes,Yes,Yes,,,,,Business premises,,Improved/expanded,,,Improved/expanded,,,,,,,,,,Yes,,Yes,,Yes,Yes,"Overseas Working Holiday Skilled Staff. We are an Korean hair salon, and customer's come to have services based on K-beauty trends.",Yes,Yes,Yes,Yes,Yes,,,,,,,,Yes,,,,Other (please describe),Business Workshops in person,Better off,Better off,Worse off,Yes,,,,,Yes,,,,,,,,Yes,,,No,,Don't know,9511,Hairdressing and Beauty Services,Retail and Personal Services,Personal Services,140
2000,Sydney,Hairdresser,> 10,No,0,0,0,0.65,Decreased,Remain the same,Yes,,,,,,,Business premises,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9511,Hairdressing and Beauty Services,Retail and Personal Services,Personal Services,141
2016,Redfern,Small Bar,1 to 5,No,,,4,"It has its positives and negatives  Positive - people who work from home in the area of Redfern , this helps support local business  Negative - Not healthy for social interactions, isolating people further, making people lazy and culturally backward as they no longer explore the world or the city, add the train strikes to the mix and you have had 2.5 years of people being told to stay at home... its easier. This ain't a healthy thing.  Back in the 90's Sydney was on the world map for exciting night life, multi cultural and back packing heaven, since 2014 this has been slowly eroded with too much legislation, development, political interference and overseas investment. Over the years I have seen most of my cultural, diverse and talented friends in entertainment all move to Melbourne and now the Gold Coast as there is no work here at all.",Increased,Increase,Yes,Yes,,,,,,Business premises,,Improved/expanded,Improved/expanded,No change,Improved/expanded,,,Yes,,Yes,Yes,Yes,Yes,,Yes,,Yes,Yes,,,,Yes,Yes,Yes,,,,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,,,In-person events,,Better off,Better off,Worse off,Yes,,Yes,Yes,Yes,,,,,,,,,Yes,,,No,,Yes,4520A,Small Bar,"Tourist, Cultural and Leisure",Pubs & Clubs,142
2042,Newtown,Hairdressing,> 10,No,3,1,,More cancellations   Less consistent,Significantly decreased (more than 50% decline),Decrease > 50%,Yes,,,,,,,Business premises,,New,No change,Improved/expanded,Improved/expanded,,,,Yes,,,,,,,,,,Yes,Yes,,,Yes,Yes,,,,,,,,,,,,,,Online webinars or live streaming,,Worse off,Worse off,Better off,Yes,,Yes,,,,,,,,Yes,,,,,,No,,Yes,9511,Hairdressing and Beauty Services,Retail and Personal Services,Personal Services,143
2021,Paddington,Hairdressing,> 10,No,6,2,2,We are now busier during normal business hours (9am-5pm) as people who are working from home can work whilst they are getting their hair done. Our weekends and evenings are quieter as people are being more social and donâ€™t want those times.,Decreased,Increase,Yes,Yes,,,,,,Business premises,,Improved/expanded,Improved/expanded,No change,Improved/expanded,,,Yes,Yes,Yes,Yes,Yes,,,,,Yes,Yes,Yes,Yes,,,Yes,Yes,,,Yes,,Yes,,,,,Yes,,,,In-person events,,,,,,,,,,,,,,,,,,,,,,,,9511,Hairdressing and Beauty Services,Retail and Personal Services,Personal Services,144
2000,Haymarket,Hairsalon,> 10,No,2,,2,Decreased sales and clients.,Decreased,Remain the same,Yes,Yes,,,,,,Business premises,,Improved/expanded,No change,No change,Improved/expanded,,,,,,,,,,,,Yes,,,Yes,,,,,,,,Yes,,Yes,,,,,,,,In-person events,,Better off,Worse off,Worse off,,,,,,Yes,,,,,,,,Yes,,,No,,No,9511,Hairdressing and Beauty Services,Retail and Personal Services,Personal Services,145
2011,Potts Point,Accommodation,> 10,No,0,0,0,Destroyed my business,Significantly decreased (more than 50% decline),Don't know,,,Yes,,,,Temporarily closed,Other (please describe),No employee atm,No change,No change,No change,No change,,,,,,Yes,Yes,,,Yes,,Yes,Yes,Yes,,,,,,,,,,,,,,,,,,Na,Online webinars or live streaming,,Worse off,Better off,Worse off,,,,,,Yes,,,,,,,,Yes,,,No,,No,4400A,Hotels,"Tourist, Cultural and Leisure",Accommodation,146
2010,Surry Hills,Restaurant,1 to 5,No,10,,15,Less business from offices but more local regulars,Increased,Increase,,,,,,Yes,,Business premises,,Improved/expanded,Temporary,No change,Improved/expanded,,,,,,,,,,Yes,,Yes,Yes,Yes,Yes,,Yes,,,,Yes,,Yes,,,Yes,,,,,,,"Digital resources (checklist, guidelines, toolkits)",,Better off,Better off,Better off,Yes,,,Yes,,,,,,,,,,Yes,,,No,,No,4511B,Restaurants,Food and Drink,Food and Drink Cafes and Restaurants,147
2017,Waterloo,Cafe,6 to 10,No,4,2,2,Sales reduced 60% from pre covid. Very few people â€˜sit downâ€™ for food still a grab and go mentality.,Significantly decreased (more than 50% decline),Decrease,Yes,Yes,,,,,,Business premises,,Improved/expanded,Temporary,Temporary,Improved/expanded,,,,Yes,,Yes,,,,Yes,,Yes,Yes,,Yes,,,Yes,,,,Yes,,,,,,,Yes,,,,Online webinars or live streaming,,Worse off,Worse off,Worse off,,,,,,,,,,,,,,,,,,,,4511A,Cafes,Food and Drink,Food and Drink Cafes and Restaurants,148
2011,Potts Point,Health,> 10,No,150,150,200,Disruption to productivity and service,Decreased,Don't know,,Yes,,,,,,Business premises,,No change,No change,No change,No change,,,,,,,,,,,,,,,Yes,,,,,,,,,Yes,,,,,Yes,,,,In-person events,,Worse off,Better off,Better off,,,,,,,,,,,,,,,,,,,,8539,Other Allied Health Services,Health,Health - Other Health Services,149
2010,Darlinghurst,Health Care,> 10,No,10,3,2,Just the lack of social engagement and connection with one another - our work has continued,Decreased,Increase,,,,,,Yes,,Split between locations (hybrid),,Improved/expanded,Improved/expanded,Improved/expanded,Improved/expanded,,,Yes,,Yes,Yes,Yes,Yes,,Yes,,Yes,Yes,,,,,,,,,,,Yes,,,,,Yes,,,,In-person events,,Worse off,Better off,Better off,Yes,Yes,Yes,Yes,Yes,,,Yes,Yes,,Yes,Yes,,,,Yes,,,Yes,8539,Other Allied Health Services,Health,Health - Other Health Services,150
2011,Elizabeth Bay,Health Care Consulting,1 to 5,No,1,,,Increased Requirement for Home Nursing and Carer Services,Remained the same,Remain the same,,,,,Yes,,,Other (please describe),Care services are provided for Residential Aged Care clients in their homes,No change,No change,No change,No change,,,,Yes,,,,,,,,Yes,,,Yes,,Yes,,,,,,,,Yes,,,,,,,,In-person events,,Better off,Worse off,Worse off,Yes,,,Yes,,,,,,,,,,Yes,,,No,,Yes,8539,Other Allied Health Services,Health,Health - Other Health Services,151
2010,Surry Hills,Clothing Retail,> 10,No,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4251,Clothing Retailing,Retail and Personal Services,Clothing & Footwear,152
2021,Paddington,Health Centre,6 to 10,No,,8,,"Positive, it has meant we can continue as a consulting business but now we hope to have people rejoin us face to face.",Increased,Remain the same,,,,,Yes,,,Split between locations (hybrid),,Improved/expanded,Improved/expanded,Improved/expanded,Improved/expanded,,,,Yes,,Yes,Yes,,,,,Yes,,,,,,Yes,Yes,,,Yes,,,,,,,,,,Community connection,In-person events,,Better off,Better off,Better off,Yes,,,,,,,Yes,Yes,Yes,,,,,,,No,,No,8539,Other Allied Health Services,Health,Health - Other Health Services,153
2000,Sydney,Clothing Retailer,6 to 10,No,1,,4,A TREMENDOUS DECLINE IN SALES,Decreased,Decrease,Yes,,,,,,,Business premises,,New,Temporary,No change,Improved/expanded,,,,Yes,Yes,Yes,,,,,,Yes,,,,,Yes,Yes,Yes,,,Yes,,,,,,,Yes,,,,Online webinars or live streaming,,Worse off,Better off,Better off,Yes,,,,,,,Yes,Yes,,,,,,,,No,,No,4251,Clothing Retailing,Retail and Personal Services,Clothing & Footwear,154
2000,Sydney,Clothing Retailer,1 to 5,No,,,2,Sale dropped to almost Zero!,Remained the same,Remain the same,Yes,Yes,,,,,,Business premises,,No change,No change,No change,No change,,,,,Yes,,,,,,,Yes,,,,,,Yes,,,,Yes,Yes,,,,,,,,,,1:1 mentoring,,Better off,Better off,Better off,Yes,,,,,,,,,Yes,,,,,,,No,,Don't know,4251,Clothing Retailing,Retail and Personal Services,Clothing & Footwear,155
2000,Barangaroo,Healthcare Allied Health,1 to 5,No,2,1,2,"Significant reduction in revenue - 50% currently (aug22)  Significant decline in patient numbers and new patients   As a service provider, our location relies on people in the area using our services for their convenience.   We have lost a number of specialists who previously consulted (orthopaedic surgeons, sports doctors) at the clinic because there has been less referrals.",Significantly decreased (more than 50% decline),Increase,Yes,Yes,,,,,,Business premises,,Temporary,Temporary,Improved/expanded,Improved/expanded,,,Yes,Yes,Yes,Yes,Yes,,,,,Yes,,,,,Yes,Yes,Yes,,Yes,,,,Yes,,,,Yes,,,,In-person events,,Worse off,Better off,Better off,Yes,,Yes,Yes,,,,Yes,Yes,Yes,Yes,,Yes,,,,No,,No,8539,Other Allied Health Services,Health,Health - Other Health Services,156
2000,Sydney,Clothing Retailer,> 10,No,3,,,less sales,Decreased,Remain the same,Yes,,,,,,,Business premises,,Improved/expanded,Improved/expanded,,Improved/expanded,,,,,,Yes,Yes,,,Yes,,,,,,,,Yes,Yes,,,Yes,,,,,,,,,,,Online webinars or live streaming,,Better off,Better off,Worse off,Yes,,,,,,,,Yes,,,,,,,,No,,Don't know,4251,Clothing Retailing,Retail and Personal Services,Clothing & Footwear,157
2010,Surry Hills,Clothing Retailer,> 10,No,,6,,Less foot traffic,Remained the same,Remain the same,,,,,Yes,,,Business premises,,Improved/expanded,No change,No change,Improved/expanded,,,,,Yes,Yes,Yes,,,,,Yes,Yes,Yes,,,Yes,Yes,Yes,,,Yes,,,,,,,Yes,,,,In-person events,,Better off,Worse off,Worse off,Yes,,,,,,,Yes,,,,,,,,,No,,No,4251,Clothing Retailing,Retail and Personal Services,Clothing & Footwear,158
2008,Chippendale,Clothing Retailer and Wholesaler,1 to 5,No,1,,,"At the begging of the pandemic I transformed my business from physical (precense on the weekend markets) to online, so with the help of the government I adapted my website and hired 2 girls. Who helped me to transform my business to a dropshipping model and only online.   After august 2021 I was able to fulfill my orders by myself.",Significantly decreased (more than 50% decline),Remain the same,,,,Yes,,,,Split between locations (hybrid),,New,New,New,Improved/expanded,,,Yes,,,,,,,,,Yes,Yes,,,"I need funding to expand my business. I have the opportunity and ideas to expand but the costs are so high. For example: Iâ€™m planning to expand my business to homeward products, I have the suppliers and probably the buyers but the initial samples stock, warehousing and participation in trade fairs is more than $10k initial investment.",,Yes,Yes,,,,,,Yes,,,,,,,,Online webinars or live streaming,,Better off,Better off,Better off,Yes,,,,,,"I use the redCycle bins at Woolworths to recycle my plastic bags used, and also I use used Woolworths boxes to post my orders.",,,,,,,Yes,,,No,,No,4251,Clothing Retailing,Retail and Personal Services,Clothing & Footwear,159
